E614 3135653132313565676523465356671532464251
E615 53321277656712365653253321277656712321321
E616 3523433217125352343323421223215654325352343323421
E617 551111236662223473455543234123331712111666715114445653511666545551233317121
E618 113355666551556342211
E619 666661765666661765111115666653355421
E620 13215721553123255333211116532157211321572155312325533321111653215721
E621 3135653132313565676523465356671532464251

E701 556533353111165133532556533353134565314321
E702 535165342476553516534243211667155314456516671553142171
E703 11754435354213211765443532461711175443535421321176544353246171
E704 512321513325712175722151232155554444321271
E705 56513321111712322565133433176543321
E706 35321121665777111234323532112166567123354321
E707 5555617653444446543555561765312354321
E708 535647771211123535647712321
E709 34321561765343217622323432156176555565312321
E710 332314412356653332323323141235665312321
E711 33333215563544444432171676533333213333432111712333454321
E712 351232311765351232326232351232311354665435123321
E713 343216651133234321665117213554665653323432166511721
E714 3332345153234654333323451532346543556176533326543556176511235421
E715 54351354325722572432315543513543262413211767656546545351767656546543
E716 1123556532111111121651123556532156531211
E717 32343632212321355456554343234332361715317153121
E718 53565312176551233121617653312532123223217655535521
E719 34533322342653453332234771

E801 51765346543551122362171
E802 3123532127124655332244311235321
E803 15132713135432335554466655231
E804 15653551565322345321461565312321
E805 56535165351356454247642346545565351653513574617654513454321
E806 1112332322121165111233234217134545351651112332342171
E807 12332113554333464353212332113554333464312152533363544443235123121
E808 551115522212333421715433332144441233342171
E809 34567121172345765345671321765117132132126617654332132126176521
E810 33537216617651155663444321
E811 345346534533223215615323523145665534532232156153235231
E812 3331355532221233356717655653665564321
E813 5511774466553655444326532176221645131155342226721
E814 5112311345564234453313261751123113455642344533132671
E815 5551351322342135555545671176532653176532651
E816 543334556544453345556513324321555311165555432345351165554321
E817 565321166533125653211665313211765365312565321166531321
E818 1231432712134536543223427654343123143271551231536555123143234315345665123143271
E819 1355555311225531355555133225511222233334426511766446553355423451176644655355671
E820 33343222554311765565177654321432671
E821 11233212313345543453176531765661535431
E822 3332122216551712323332122216551712321
E823 3123123533123532122612612225321232111
E824 3123123533123532122612612225321232111
E825 3123123533123532122612612225321232111
E826 3212345653123255171665565231
E827 333353445433333534454322224233445433335344543
E828 5353432153534321223423345353534321
E829 5353432153534321223423345353534321
E830 12333212134556545334517653123554321
E831 56534542343123325653454234567321
E832 333212221655171233233321222165517123213116517123323116551712321
E833 32321554653164653267123232155465316465326251
E834 34531211772342717655345123216234325432111312222242333335344432571
E835 345323214656217765655345323214656217765231
E836 345323214656217765655345323214656217765231

E901 565434523434556543452531
E902 1112233425543354211271543354211271
E903 565354432613543565354432617321
E904 556511233334556532556511233334556321
E905 55321656513532345545653143217227135565313255321651353421
E906 333332345454343253432321513333323454543432511112123427511352333332345454343251
E907 1355456654724434765431355456654724476523116721766514565432345653266217671
E908 3135653132313565676523465356671532464251
E909 51123321271144433217125332113444322554345312171
E910 5342542171332244533432345433246171
E911 533231216157771211123533231216153331221
E912 533333354444444333553253333354444443532521
E913 3455565544342344476565433455535172166656543243213456544342347654334517216115566765671
E914 55565322116711765552276511327721765567111221231117651131221
E915 32143212176543321432112432151712332225212344333132345546643514321
E916 56321161563122232356532116112333322321
E917 5332215533221553331133221553331133221
E918 3554667767123355466776711131546657765113154665767111
E919 333212165653561165111222323332121656535671651123322135632161213565356321222323563216121356535632133221
E920 5434343232712123465654545434355765432132111164611115351112176567777656777766716715321

E1001 55433211765556552765135543321176555653212671
E1002 55555636666675555556323465716646553234676566465532346571
E1003 1233212313455434535566617651233212315517655543215661465512355555544321
E1004 1323235311233426711323235311233426715646176532345765435564617653123342671
E1005 3321144332153233211665112321223465432234654311177665112321
E1006 316551316571222243233165513165712222432117122123323443451712212332346217671
E1007 532164432532114477153444423335345653221
E1008 333211511223324443226513221555346555531323332115613221
E1009 12335654543232123356556543213517216247616535172166653421
E1010 3335544222443335177665654321
E1011 32123456717656717656715433212345671765671765671543
E1012 356556126653216535615611653561323356532561
E1013 313266272133545144323432671
E1014 54332154332134556534321555654334454322223345643321
E1015 515321112233356151222217655111156622221765112233342171
E1016 12333231134555453556646535554231
E1017 34531233453165566614655531235321
E1018 55333355444457775777655653553333355444457775777655671
E1019 5333317771254444221112311116177665544442433221
E1020 123453423112345323122521272252345535432321253543232121234534235123453421
E1021 5565453556545333443324321556531165131532556531165132171
E1022 53531321521235653212345132152532111
E1023 653123216567121234565312321656712316531232165671212345653123216656712345671
E1024 5556551232225712321176671765157655556715433335655123222571232117667176515765555671
E1025 332117615333553132332117615313211116561333123233211761531321
E1026 1353427242311353465431271135342724231135346543127143465514321243212432151353427242311353465431271
E1027 3432121144456521221243334345666656155554514543452343212135443421
E1028 345563542344766534551776665546543116676651144543234551776665546543
E1029 32321554653164653267123232155465316465326251
E1030 351115351111233333523511153511112333122135666416555315444275555333463546355654321
E1031 333212221655171233233321222165517123213116517123323116551712321
E1032 3231132316554522315323113231655452231656146513323623352323113231655452231
E1033 111175611554454351116712111175611554454351161721
E1034 33321112165112323332111216543211567133343253321111431271
E1035 3542111176544445653566671712333321216517121
E1036 15176565617725721321765676556715176566123344325321556711
E1037 54321231555676555616554321231555676521
E1038 55111117125522222123334446644333213322177671
E1039 565351216771231765565351216771231334332262223221165565351216771231

E1101 155551217725555221123343215617655512354321
E1102 1515123155654343212315151231556543432671
E1103 3331233421354316543234671321
E1104 5671617565432356716175654321513557542724655135575724321
E1105 556715335535567157654515156621711557654321
E1106 1113566665111354443211135666652472167176535672176532111356666524671
E1107 355363212131222354323553632121312223523116667117655321166671171276535536321213122235231
E1108 5565332255652211556533244321532135346433321322235346433321321
E1109 1112332322121165111233234217134545351651112332342171
E1110 13321446513523213321446532311121233112232321332144653231
E1111 1765176511113123332151111312333211444465433335511113123332151
E1112 15135654312321755654311513565431224321
E1113 16535567156616551177262531511766511552321655555
E1114 11123323212212173323211112332321122232155566533344311123323212212173323211123323211222321
E1115 35111176535171216534234676517276345527656551567712314443332676534321
E1116 12357213453132543321644435721554333211121765554321
E1117 551321216551111171234321651222432117122123323444555132121652224321
E1118 555544333335345577715556432155755155255321717657551564321

E1201 1356513215232123215556535666333532122135651321523212321
E1202 543455117743234466555434553322171665177111154322243234567651771
E1203 55351231661716535535123111221715513155131551321255131551313321765513217666624321777555334543255334321
E1204 1112321662176511123215671111232166217651112321567156543452321765565434556711112321662176511123215671
E1205 511332133212665132165765511133212532132165721
E1206 511123334531234325321332262511123334531354325321253121511151355654653432532132546551115135565465343253212353121
E1207 1111113111235111111533223211111131112345555653122232114444466666655353322223222223455355535553345666555365555554321
E1208 543261253215654561656216555654561655322612532121216544655616122561225545666565612
E1209 515671233217655156712334434532155615321715443266671533344655113355553456544234543666544432345432171
E1210 51653335321613563351636565365561653352321111326161265111326161265623565
E1211 1112356615112333276511123566151123332121116111655351161167176511123566151123332121
E1212 5171234256651232151712342566512321552535525351712342566512321
E1213 11176565332255151117656577111125353517776665535351777667715111765653322551
E1214 34553156112233453156176521
E1215 5556531112165556533321255565311121655123121321355656116555123133212355656116555123121321
E1216 11223543322133445117766551116556617111565433221
E1217 111111535133333331613532131765111233345565433221
E1218 533433221252232211715334332212345432153343332252232221153343332234544321
E1219 51343217572246531354566651721116646511443423454566651721
E1220 5556531112165556533321255565311121655123121321355656116555123121321
E1221 51177666653454543223344455567122176551177665345454323555567135554321
E1222 533345176552223454325333451726617651327711666611766554444665432533345172661765132771
E1223 1111534577776535511153465557121123113117272772771655511153465557121
E1224 56535121677123176556535121677123133433226222322116556535121677122321
E1225 5555653155553111112164111765565543321
E1226 533235566616655533235566651321
E1227 5563523216123526156533223653211116125321
E1228 3356556126653216535616561653161323356532561
E1229 553551176555432343532553551176555432343212234355365616543421
E1230 343216651133234321665117213554665653323432166511721
E1231 551371265572676555132346443177671
E1232 543332343444465351174655123343215533543266446545511746551233432155335432664465455117465512334321
